No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
6262,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6263,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,310.00","15,720.00",764.19,225.19,0,0,989.38
6264,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6265,AYUDANTE AUTOMOTRIZ  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
6266,AGENTE DE SEGURIDAD  ,2,906.3,"10,875.60",528.71,225.19,0,0,753.9
6267,ESPECIALISTA EN REPARACIÓN ( E ) ,4,916,"10,992.00",534.31,225.19,0,"4,081.00","4,840.50"
6268,OPERADOR DE ISLA  ,3,"1,296.00","15,552.00",839.47,225.19,"1,001.70",0,"2,066.36"
6269,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
6270,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
6271,TÉCNICO DE LABORATORIO ( E ) ,3,916,"10,992.00",593.8,225.19,713.71,693,"2,225.70"
6272,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",602.02,225.19,119.47,0,946.68
6273,INGENIERO DE FACILIDADES ( E ) ,5,"1,440.00","17,280.00",994,225.19,"1,848.00","5,425.00","8,492.19"
6274,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",675.59,225.19,498.23,0,"1,399.01"
6275,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.59,225.19,749,0,"1,814.78"
6276,INGENIERO DE SOPORTE DE LEVANTAMIENTO ARTIFICIAL  ,4,"1,999.00","23,988.00","1,166.06",225.19,0,0,"1,391.25"
6277,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",393.19,225.19,378.22,"2,765.00","3,761.60"
6278,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",651.75,225.19,716.32,0,"1,593.26"
6279,TÉCNICO AGROPECUARIO ( E ) ,4,620,"7,440.00",361.68,225.19,0,"6,153.00","6,739.87"
6280,COORDINADOR DE CONTROL DE COSTOS  ,5,"2,860.00","34,320.00","1,668.31",225.19,0,0,"1,893.50"
6281,ANALISTA DE ORIENTACION LABORAL  ,3,916,"10,992.00",534.31,225.19,0,0,759.5
6282,SUPERVISOR DE PLANTA  ,5,"2,736.00","32,832.00","1,923.75",225.19,"3,933.00",0,"6,081.94"
6283,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6284,ADMINISTRADOR DE INVENTARIO  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
6285,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",656.48,225.19,772.88,0,"1,654.55"
6286,JEFE DE INGENIERÍA  ,6,"4,361.00","52,332.00","3,120.08",225.19,"6,914.01",0,"10,259.28"
6287,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",386.75,225.19,301.05,"2,765.00","3,677.99"
6288,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6289,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",393.34,225.19,380.08,829.5,"1,828.11"
6290,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6291,SUPERVISOR DE SEIP  ,5,"2,599.00","31,188.00","1,536.10",225.19,240.41,0,"2,001.70"
6292,ADMINISTRADOR DE CAMPO  ,4,"1,700.00","20,400.00",991.69,225.19,0,0,"1,216.88"
6293,COORDINADOR DE PROGRAMACIÓN Y EJECUCIÓN DE COSTOS  ,5,"3,363.00","40,356.00","1,961.75",225.19,0,0,"2,186.94"
6294,ESPECIALISTA DE TI  ,4,"1,999.00","23,988.00","1,166.06",225.19,0,0,"1,391.25"
6295,COORDINADOR DE RELACIONES TÉCNICAS  ,5,"4,442.00","53,304.00","2,591.19",225.19,0,0,"2,816.38"
6296,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",673.51,225.19,473.32,0,"1,372.02"
6297,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
6298,OPERADOR DE PLANTA  ,3,"1,354.00","16,248.00",853.16,225.19,760.2,0,"1,838.55"
6299,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",629.67,225.19,450.95,0,"1,305.81"
6300,AUXILIAR DE SERVICIOS  ,1,620,"7,440.00",363.52,225.19,21.96,0,610.67
6301,MÉDICO COMUNITARIO  ,4,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
6302,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",633.32,225.19,494.85,0,"1,353.36"
6303,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",695.32,225.19,734.9,0,"1,655.41"
6304,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",649.28,225.19,686.17,0,"1,560.64"
6305,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6306,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6307,INGENIERO DE FACILIDADES ( E ) ,5,"2,500.00","30,000.00","1,632.75",225.19,"2,093.05",0,"3,950.99"
6308,INGENIERO DE SOPORTE DE INTEGRIDAD MECÁNICA ( E ) ,4,"1,015.00","12,180.00",592.06,225.19,0,"3,388.00","4,205.25"
6309,TÉCNICO DE SEGURIDAD Y AMBIENTE  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
6310,OPERADOR DE PLANTA  ,3,"1,354.00","16,248.00",878.68,225.19,"1,066.39",0,"2,170.26"
6311,INGENIERO ELÉCTRICO  ,5,"3,200.00","38,400.00","1,908.90",225.19,506.67,0,"2,640.76"
6312,AYUDANTE AUTOMOTRIZ  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
6313,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6314,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
6315,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",843.13,225.19,779.56,0,"1,847.88"
6316,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6317,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6318,OPERADOR DE ISLA ( E ) ,3,627.45,"7,529.40",396.57,225.19,366.69,"2,712.85","3,701.30"
6319,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6320,INGENIERO DE CONFIABILIDAD  ,5,"2,575.00","30,900.00","1,502.06",225.19,0,0,"1,727.25"
6321,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",659.57,225.19,809.86,0,"1,694.62"
6322,SUPERVISOR AUTOMOTRIZ / MANTENIMIENTO ( E ) ,5,465,"5,580.00",282.87,225.19,139.5,"12,250.00","12,897.56"
6323,ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ) ,4,"1,015.00","12,180.00",592.06,225.19,0,"3,388.00","4,205.25"
6324,SUPERVISOR MECÁNICO ( E ) ,5,"1,680.00","20,160.00",980,225.19,0,"3,745.00","4,950.19"
6325,TÉCNICO AUTOMOTRIZ ( E ) ,3,753,"9,036.00",439.25,225.19,0,"1,834.00","2,498.44"
6326,SUPERVISOR MECÁNICO ( E ) ,5,"2,273.00","27,276.00","1,333.81",225.19,94.47,"1,379.00","3,032.47"
6327,JEFE DE CAMPO  ,7,"6,100.00","73,200.00","3,558.31",225.19,0,0,"3,783.50"
6328,TÉCNICO ELÉCTRICO ( E ) ,3,620,"7,440.00",376.63,225.19,179.74,"2,765.00","3,546.56"
6329,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",638.12,225.19,552.42,0,"1,415.73"
6330,COORDINADOR DE PROYECTOS  ,5,"4,000.00","48,000.00","2,769.43",225.19,"5,233.34",0,"8,227.96"
6331,SUPERVISOR DE REMEDIACIÓN ( E ) ,5,620,"7,440.00",361.68,225.19,0,"11,165.00","11,751.87"
6332,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",369.82,225.19,97.79,0,692.8
6333,ANALISTA DE PROGRAMACIÓN DE COSTOS  ,3,"2,229.00","26,748.00","1,357.53",225.19,687.27,0,"2,269.99"
6334,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",637.65,225.19,546.61,0,"1,409.45"
6335,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6336,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6337,TÉCNICO ELÉCTRICO (LÍNEAS) ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
6338,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6339,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6340,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",610.86,225.19,225.43,0,"1,061.48"
6341,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6342,TÉCNICO OVERHAUL  ,3,"2,285.71","27,428.52","1,367.41",225.19,408.81,0,"2,001.41"
6343,GEOFÍSICO  ,5,"2,356.00","28,272.00","1,374.31",225.19,0,0,"1,599.50"
6344,BODEGUERO DE COMBUSTIBLE  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
6345,SUPERVISOR DE MANTENIMIENTO  ,5,"3,004.00","36,048.00","1,752.31",225.19,0,0,"1,977.50"
6346,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",699.37,225.19,"1,287.49",0,"2,212.05"
6347,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6348,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6349,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",384.16,225.19,269.97,"2,765.00","3,644.32"
6350,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
6351,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",849.5,225.19,856,0,"1,930.69"
6352,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6353,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6354,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6355,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6356,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",636.83,225.19,536.96,0,"1,398.98"
6357,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",690.14,225.19,672.62,0,"1,587.95"
6358,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",371.03,225.19,112.39,0,708.61
6359,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6360,ESPECIALISTA DE NOMINA  ,4,"2,200.00","26,400.00","1,300.50",225.19,206.25,0,"1,731.94"
6361,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6362,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6363,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6364,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6365,ESPECIALISTA DE TI  ,4,"3,739.53","44,874.36","2,181.41",225.19,0,0,"2,406.60"
6366,INGENIERO MECÁNICO  ,5,"3,244.00","38,928.00","1,892.31",225.19,0,0,"2,117.50"
6367,SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE  ,6,"4,100.00","49,200.00","2,391.69",225.19,0,0,"2,616.88"
6368,ADMINISTRADOR DE INVENTARIO ( E ) ,3,"1,280.00","15,360.00",746.69,225.19,0,444,"1,415.88"
6369,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6370,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
6371,TÉCNICO INSTRUMENTISTA  ( S ),3,620,"7,440.00",361.68,225.19,0,"1,492.47","2,079.34"
6372,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
6373,SUPERVISOR ELÉCTRICO  ,5,"2,599.00","31,188.00","1,516.06",225.19,0,822.27,"2,563.52"
6374,OPERADOR DE EQUIPO PESADO  ,3,"1,196.00","14,352.00",697.69,225.19,0,0,922.88
6375,AYUDANTE DE PRODUCCIÓN  ,1,885,"10,620.00",561.9,225.19,547.56,0,"1,334.65"
6376,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",642.47,225.19,604.59,0,"1,472.25"
6377,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
6378,ANALISTA DE TI  ,3,"1,530.00","18,360.00",892.5,225.19,0,0,"1,117.69"
6379,COORDINADOR DE REMEDIACIÓN AMBIENTAL ( E ) ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
6380,AGENTE DE SEGURIDAD  ,2,906,"10,872.00",645.64,225.19,"1,405.71",0,"2,276.54"
6381,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",691.16,225.19,685.06,0,"1,601.41"
6382,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",465.9,225.19,18.98,0,710.07
6383,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",683.5,225.19,593.21,0,"1,501.90"
6384,ASISTENTE DE PROGRAMAS  ,2,811,"9,732.00",473.06,225.19,0,0,698.25
6385,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6386,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",703.61,225.19,834.51,0,"1,763.31"
6387,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",667.29,225.19,398.58,0,"1,291.06"
6388,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6389,TÉCNICO ELÉCTRICO  ,3,"1,150.00","13,800.00",698.6,225.19,333.26,0,"1,257.05"
6390,SUPERVISOR DE PRODUCCIÓN  ,5,"2,953.00","35,436.00","2,206.53",225.19,"5,807.54",0,"8,239.26"
6391,TÉCNICO DE CONSTRUCCIONES  ,3,"2,621.51","31,458.12","1,546.04",225.19,201.8,0,"1,973.03"
6392,OPERADOR DE PLANTA  ,3,"1,792.41","21,508.92","1,122.61",225.19,924.22,0,"2,272.02"
6393,COORDINADOR DE CONTRATOS ESPECIALES ( E ) ,5,"2,454.38","29,452.56","1,431.71",225.19,0,0,"1,656.90"
6394,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6395,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6396,SUPERVISOR DE SEIP ( E ) ,5,"1,015.00","12,180.00",593.13,225.19,12.69,"8,400.00","9,231.01"
6397,INGENIERO ELÉCTRICO ( E ) ,5,"1,015.00","12,180.00",592.06,225.19,0,"8,400.00","9,217.25"
6398,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",699.48,225.19,784.71,0,"1,709.38"
6399,SUPERINTENDENTE DE OPERACIONES  ,6,"3,150.00","37,800.00","1,837.50",225.19,0,0,"2,062.69"
6400,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6401,INGENIERO ELÉCTRICO  ,5,"2,769.00","33,228.00","1,615.25",225.19,0,0,"1,840.44"
6402,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"5,250.00","63,000.00","3,062.50",225.19,0,0,"3,287.69"
6403,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,310.00","15,720.00",904.27,225.19,"1,681.16",0,"2,810.62"
6404,COORDINADOR DE MATERIALES  ( S ),5,"1,280.00","15,360.00",746.69,225.19,0,"7,034.50","8,006.38"
6405,TÉCNICO INSTRUMENTISTA ( E ) ,3,620,"7,440.00",370.55,225.19,106.51,"2,765.00","3,467.25"
6406,TÉCNICO MECÁNICO ( E ) ,3,885,"10,620.00",527.38,225.19,133.59,910,"1,796.16"
6407,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",684.94,225.19,610.33,0,"1,520.46"
6408,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,885,"10,620.00",524.84,225.19,103.07,151.67,"1,004.77"
6409,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,334.00","16,008.00",868.04,225.19,"1,078.30","6,167.00","8,338.53"
6410,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,334.00","16,008.00",872.65,225.19,"1,133.91","6,167.00","8,398.75"
6411,ANALISTA DE CONTROL DE COSTOS  ,3,"2,229.00","26,748.00","1,300.25",225.19,0,0,"1,525.44"
6412,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6413,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6414,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",383.57,225.19,262.85,"2,765.00","3,636.61"
6415,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6416,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6417,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6418,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
6419,OPERADOR DE PLANTA  ,3,"1,350.00","16,200.00",888.98,225.19,"1,217.81",0,"2,331.98"
6420,COORDINADOR DE CONTROL DE QUIMICOS  ,5,"3,739.00","44,868.00","2,181.06",225.19,0,0,"2,406.25"
6421,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
6422,TÉCNICO LÍDER AUTOMOTRIZ ( E ) ,4,"1,015.00","12,180.00",592.07,225.19,0,"3,388.00","4,205.26"
6423,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN  ,3,"1,754.00","21,048.00","1,237.81",225.19,"2,575.82",0,"4,038.82"
6424,AYUDANTE DE MANTENIMIENTO  ,1,885,"10,620.00",519.7,225.19,41.39,0,786.28
6425,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",370.98,225.19,111.68,0,707.85
6426,TÉCNICO DE LABORATORIO ( E ) ,3,916,"10,992.00",534.31,225.19,0,693,"1,452.50"
6427,OPERADOR DE EQUIPO  ,3,"1,565.00","18,780.00",912.94,225.19,0,0,"1,138.13"
6428,ASISTENTE ADMINISTRATIVA  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
6429,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
6430,INGENIERO DE SOPORTE DE OPERACIONES Y COMPLETACIÓN  ,4,"1,999.00","23,988.00","1,170.23",225.19,49.98,0,"1,445.40"
6431,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6432,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",638.61,225.19,558.24,0,"1,422.04"
6433,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",868.6,225.19,"1,085.28",0,"2,179.07"
6434,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6435,ASISTENTE ADMINISTRATIVO CAMPO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
6436,AYUDANTE DE PRODUCCIÓN  ,1,796,"9,552.00",487.11,225.19,273.6,0,985.9
6437,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6438,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",394.8,225.19,397.85,"2,765.00","3,782.84"
6439,TÉCNICO MECÁNICO ( E ) ,3,620,"7,440.00",367.24,225.19,66.72,"2,765.00","3,424.15"
6440,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6441,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",365.99,225.19,51.67,0,642.85
6442,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6443,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
6444,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6445,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",373.62,225.19,143.31,0,742.12
6446,INGENIERO DE LEVANTAMIENTO ARTIFICIAL ( E ) ,5,"1,334.00","16,008.00",790.86,225.19,152.18,"1,350.87","2,519.10"
6447,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,597.00","19,164.00","1,187.75",225.19,"3,074.22",0,"4,487.16"
6448,COORDINADOR DE CONTROL DE ACTIVOS  ( S ),5,"1,310.00","15,720.00",904.27,225.19,"1,681.16","2,408.00","5,218.62"
6449,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",663.19,225.19,853.21,0,"1,741.59"
6450,ANALISTA DE CONTRATOS  ,3,"1,310.00","15,720.00",837.69,225.19,882.06,0,"1,944.94"
6451,SUPERINTENDENTE DE CONSTRUCCIONES  ,6,"4,392.00","52,704.00","2,562.00",225.19,0,0,"2,787.19"
6452,SUPERVISOR DE INSTRUMENTACIÓN ( E ) ,5,"1,873.00","22,476.00","1,092.56",225.19,0,"2,394.00","3,711.75"
6453,GEOFÍSICO  ,5,"4,450.00","53,400.00","2,595.81",225.19,0,0,"2,821.00"
6454,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.58,225.19,749,0,"1,814.77"
6455,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",692.2,225.19,697.52,0,"1,614.91"
6456,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6457,COORDINADOR DE ASUNTOS CORPORATIVOS CONTRATOS ESPECIALES  ,5,"4,000.00","48,000.00","2,333.31",225.19,0,60,"2,618.50"
6458,BODEGUERO DE COMBUSTIBLE ( E ) ,2,"2,079.88","24,958.56","1,213.24",225.19,0,0,"1,438.43"
6459,INGENIERO DE GESTIÓN DE ACTIVOS ( E ) ,5,"1,680.00","20,160.00",980,225.19,0,"3,745.00","4,950.19"
6460,RESERVORISTA ( E ) ,5,"1,560.00","18,720.00",933.83,225.19,286,"4,585.00","6,030.02"
6461,INGENIERO ELÉCTRICO  ,5,"2,820.00","33,840.00","1,782.08",225.19,"1,645.00",0,"3,652.27"
6462,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6463,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,930.00","59,160.00","2,875.81",225.19,0,0,"3,101.00"
6464,TÉCNICO RODA ( E ) ,3,796,"9,552.00",519.8,225.19,665.85,"1,533.00","2,943.84"
6465,MÉDICO OCUPACIONAL  ,4,"2,900.00","34,800.00","1,691.69",225.19,0,0,"1,916.88"
6466,ADMINISTRADOR ALERT ( E ) ,3,887,"10,644.00",517.44,225.19,0,896,"1,638.63"
6467,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,310.00","15,720.00",774.65,225.19,125.54,0,"1,125.38"
6468,ESPECIALISTA ADMINISTRATIVO DE NUEVOS NEGOCIOS  ,4,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
6469,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,620,"7,440.00",361.68,225.19,0,469,"1,055.87"
6470,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6471,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6472,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",364.65,225.19,35.52,0,625.36
6473,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",362.65,225.19,11.63,0,599.47
6474,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",369.44,225.19,93.27,0,687.9
6475,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6476,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,733.33,"1,320.21"
6477,COORDINADOR DE LEVANTAMIENTO ARTIFICIAL ( E ) ,5,"2,600.00","31,200.00","1,516.69",225.19,0,"7,973.00","9,714.88"
6478,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",362.97,225.19,15.5,0,603.66
6479,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
6480,INGENIERO CIVIL  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
6481,SUPERVISOR DE MANTENIMIENTO ( E ) ,5,"2,017.00","24,204.00","1,176.56",225.19,0,"1,386.00","2,787.75"
6482,COORDINADOR DE RECURSOS HUMANOS  ,5,"2,750.00","33,000.00","1,604.19",225.19,0,0,"1,829.38"
6483,ESPECIALISTA DE SEGURIDAD  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
6484,SUPERVISOR DE PLANTA DE GENERACIÓN ( E ) ,5,"2,288.00","27,456.00","1,352.89",225.19,218.55,"2,177.00","3,973.63"
6485,SUPERVISOR DE SEIP  ,5,"3,841.00","46,092.00","2,240.56",225.19,0,0,"2,465.75"
6486,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,354.00","16,248.00",797.81,225.19,95.91,0,"1,118.91"
6487,AUXILIAR DE CAFETERIA  ,1,479,"5,748.00",279.44,225.19,0,0,504.63
6488,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
6489,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",608.88,225.19,201.74,0,"1,035.81"
6490,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
6491,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6492,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",400.54,225.19,466.3,"2,765.00","3,857.03"
6493,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
6494,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
6495,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",827.84,225.19,596.17,0,"1,649.20"
6496,ASISTENTE DE SEGURIDAD Y AMBIENTE  ( S ),2,887,"10,644.00",517.44,225.19,0,"1,491.00","2,233.63"
6497,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",362.65,225.19,11.63,0,599.47
6498,TÉCNICO ELÉCTRICO (LÍNEAS) ( E ) ,3,620,"7,440.00",363.83,225.19,25.83,"2,765.00","3,379.85"
6499,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
